[91/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0017
[92/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0012
[93/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0016
[94/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0011
[95/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0016
[96/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0014
[97/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0016
[98/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0014
[99/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0016
[100/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0019
[101/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0011
[102/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0011
[103/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0016
[104/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0020
[105/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0016
[106/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0015
[107/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
[108/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0016
[109/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0010
[110/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0010
[111/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0014
[112/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0021
[113/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0012
[114/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0010
[115/200] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0017
[116/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0012
[117/200] Total Loss: 0.0010, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0012
[118/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0014
[119/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0011
[120/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[121/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0016
[122/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0020
[123/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0010
[124/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0009
[125/200] Total Loss: 0.0008, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0011
[126/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0011
[127/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0011
[128/200] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0013
[129/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0011
[130/200] Total Loss: 0.0008, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0010
[131/200] Total Loss: 0.0004, Discrepancy Loss: 0.0004,  Constraint Loss: 0.0007
[132/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0012
[133/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0012
[134/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0014
[135/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0025
[136/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0010
[137/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0012
[138/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0009
[139/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0008
[140/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0013
[141/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0011
[142/200] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0016
[143/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0009
[144/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0015
[145/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0011
[146/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0010
[147/200] Total Loss: 0.0007, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0009
[148/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0010
[149/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0009
[150/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0013
[151/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0011
[152/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0013
[153/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0009
[154/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0011
[155/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0013
[156/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0013
[157/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0015
[158/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
[159/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0012
[160/200] Total Loss: 0.0005, Discrepancy Loss: 0.0005,  Constraint Loss: 0.0008
[161/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[162/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0007
[163/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0012
[164/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0011
[165/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0011
[166/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0010
[167/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0011
[168/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0011
[169/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0014
[170/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0011
