[38/200] Total Loss: 0.0267, Discrepancy Loss: 0.0179,  Constraint Loss: 0.0044
[39/200] Total Loss: 0.0209, Discrepancy Loss: 0.0166,  Constraint Loss: 0.0022
[40/200] Total Loss: 0.0130, Discrepancy Loss: 0.0097,  Constraint Loss: 0.0017
[41/200] Total Loss: 0.0117, Discrepancy Loss: 0.0090,  Constraint Loss: 0.0014
[42/200] Total Loss: 0.0218, Discrepancy Loss: 0.0142,  Constraint Loss: 0.0038
[43/200] Total Loss: 0.0089, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0009
[44/200] Total Loss: 0.0097, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0008
[45/200] Total Loss: 0.0095, Discrepancy Loss: 0.0082,  Constraint Loss: 0.0007
[46/200] Total Loss: 0.0092, Discrepancy Loss: 0.0074,  Constraint Loss: 0.0009
[47/200] Total Loss: 0.0084, Discrepancy Loss: 0.0072,  Constraint Loss: 0.0006
[48/200] Total Loss: 0.0092, Discrepancy Loss: 0.0075,  Constraint Loss: 0.0008
[49/200] Total Loss: 0.0078, Discrepancy Loss: 0.0069,  Constraint Loss: 0.0004
[50/200] Total Loss: 0.0077, Discrepancy Loss: 0.0068,  Constraint Loss: 0.0005
[51/200] Total Loss: 0.0078, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0004
[52/200] Total Loss: 0.0077, Discrepancy Loss: 0.0066,  Constraint Loss: 0.0006
[53/200] Total Loss: 0.0083, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0007
[54/200] Total Loss: 0.0073, Discrepancy Loss: 0.0066,  Constraint Loss: 0.0003
[55/200] Total Loss: 0.0071, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0003
[56/200] Total Loss: 0.0071, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0003
[57/200] Total Loss: 0.0066, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0003
[58/200] Total Loss: 0.0067, Discrepancy Loss: 0.0063,  Constraint Loss: 0.0002
[59/200] Total Loss: 0.0071, Discrepancy Loss: 0.0063,  Constraint Loss: 0.0004
[60/200] Total Loss: 0.0064, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0004
[61/200] Total Loss: 0.0065, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0003
[62/200] Total Loss: 0.0064, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0003
[63/200] Total Loss: 0.0063, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0003
[64/200] Total Loss: 0.0072, Discrepancy Loss: 0.0064,  Constraint Loss: 0.0004
[65/200] Total Loss: 0.0063, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0003
[66/200] Total Loss: 0.0061, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0002
[67/200] Total Loss: 0.0061, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0002
[68/200] Total Loss: 0.0060, Discrepancy Loss: 0.0056,  Constraint Loss: 0.0002
[69/200] Total Loss: 0.0076, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0003
[70/200] Total Loss: 0.0064, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0002
[71/200] Total Loss: 0.0063, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0002
[72/200] Total Loss: 0.0061, Discrepancy Loss: 0.0056,  Constraint Loss: 0.0003
[73/200] Total Loss: 0.0061, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0002
[74/200] Total Loss: 0.0066, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0004
[75/200] Total Loss: 0.0063, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0002
[76/200] Total Loss: 0.0066, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0003
[77/200] Total Loss: 0.0056, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0002
